,ocf 대 유동부채,비유동장기적합률,자기자본순이익률,자기자본회전률,차입금의존도,총자본영업이익률,총자산순이익률,총자산영업이익률,총자산회전율,부도여부
4457,-0.02429395085499364,107.08,18.6,4.01,22.17,10.57,0.08454566195056297,0.1001999310639136,1.9235691656493688,0.0
4458,0.044169971555234125,111.98,11.78,3.95,27.81,7.88,0.0521288163768296,0.07293693204272672,1.8915501675904505,0.0
4459,0.1809174180909426,112.0,15.8,4.63,25.13,8.23,0.06778750945546114,0.07623833155987153,2.1438328452912088,0.0
4460,0.3123746161431659,99.44,15.35,3.69,17.69,8.71,0.07889503474636647,0.08858659479579054,1.867320900347518,0.0
4461,-0.1740117064340766,98.99,7.13,3.4,27.78,7.08,0.03233899358229311,0.06379465077124935,1.7136488096106168,0.0
4462,0.8309082425779621,131.6,5.24,3.32,20.19,5.8,0.027266155934088158,0.06031206670132665,1.6602624427417216,0.0
4463,-0.09333742440289433,127.93,10.2,3.3,27.71,5.49,0.04487202330379232,0.04892355102777205,1.6286575012675246,0.0
4465,0.8401766034611258,81.5,17.43,0.85,0.0,8.3,0.12916404950728413,0.07621550276894129,0.6849714085520164,0.0
4466,-0.17451278505667708,81.09,-1.59,1.09,8.23,2.53,-0.01275261930203126,0.025427056588870064,0.8680487098170364,0.0
4467,0.9892118652648813,73.89,24.41,1.83,14.27,15.55,0.14032754560788702,0.12638963060561248,1.2937802578386988,0.0
4468,0.6103073778686655,90.2,19.17,1.76,19.66,14.27,0.11225499753415123,0.12937271615826745,1.1353515071391709,0.0
4469,0.8564456461424994,86.21,15.69,1.77,17.53,13.27,0.09042445998377772,0.12235912937685982,1.1088242073065206,0.0
4470,0.0565223776264892,84.83,6.12,1.62,16.68,4.49,0.036108482857362886,0.04200029915888017,1.023202183524708,0.0
4471,0.12068845021207425,82.3,5.4,1.95,21.07,5.21,0.03444925877007525,0.051164854472744464,1.2695422696943863,0.0
4472,0.1658314450909931,77.56,3.46,1.72,22.63,3.84,0.02339017691038801,0.03882204545810964,1.1493914515977448,0.0
4473,1.3594603816023243,71.19,12.35,1.2,19.77,13.25,0.08269127181606564,0.12691119634398212,0.8401095285680079,0.0
4474,0.7478466063008464,89.23,16.14,1.02,27.36,15.28,0.09459846120288803,0.13470772249761906,0.6792764778996129,0.0
4476,0.4930676748166472,87.0,8.54,2.45,21.97,5.56,0.030754156970624245,0.05449323378429928,0.9005396053378085,0.0
4477,0.5993685847146429,94.78,27.56,3.26,17.5,8.35,0.08173315558569769,0.07083662179407524,1.139413649380571,0.0
4478,-0.11933375317109207,91.53,-31.62,2.41,31.33,-6.8,-0.09613060838538423,-0.06778050977024191,0.7357802282247082,0.0
4479,0.1863785219502871,85.81,16.92,3.13,30.18,7.01,0.04956747108078957,0.06824095172842533,0.9426094498201164,0.0
4480,0.040681756189251884,94.63,-20.35,3.09,66.81,-3.69,-0.0561227726863101,-0.03775494678260342,0.8333701810500161,0.0
4481,-0.15654132168356605,95.34,-77.45,5.98,76.39,-6.36,-0.1263058100232599,-0.06572077678721802,0.9440962750371256,0.0
4482,0.03062757833664523,165.15,-87.6,10.33,76.32,-4.76,-0.08546919646575818,-0.05126159046716945,0.9358488076515452,0.0
4483,-0.004862887240312176,180.59,11.51,11.33,73.86,-3.88,0.009841482665428187,-0.039902000503955065,0.94086349571062,0.0
4484,-0.035122551699232056,178.52,-143.32,11.63,75.97,-4.48,-0.11599585726030845,-0.047172091613787735,0.8935799718835621,0.0
4485,-0.8264373624622859,90.1,-73.67,6.54,53.99,-17.1,-0.11035407951286898,-0.19819970182730445,0.8449205279368972,0.0
4487,0.0824021821656636,97.89,9.33,7.12,30.79,6.13,0.022745408223701764,0.059958960724976335,1.7746445988136637,0.0
4488,0.13786702926463235,99.91,7.47,5.13,26.26,5.33,0.019904215409075856,0.048379812692379634,1.5054234362894057,0.0
4489,0.1208418279441612,86.44,9.78,3.95,25.08,5.25,0.032948121469291214,0.05231517833774897,1.3341143548793648,0.0
4490,0.14513497528546512,88.77,15.43,5.01,20.37,5.11,0.04860271806439465,0.04684077024857318,1.7204207800768148,0.0
4491,0.07438731119538194,76.29,18.66,4.85,18.68,8.46,0.06097335071812208,0.07576259588581287,1.7701932636244215,0.0
4492,0.29166228509794745,67.27,23.49,4.04,16.76,12.61,0.09391646960090133,0.12087959140267444,1.683976295546995,0.0
4493,0.3794754710586201,66.01,19.63,3.29,14.07,11.68,0.09116435590366878,0.11339585528763155,1.5740580251590848,0.0
4494,0.23328419760272265,63.41,16.92,2.85,17.29,9.65,0.07543846824395059,0.08529852110114572,1.4382754671399225,0.0
4495,0.2972693288436737,62.39,11.93,2.72,18.16,8.73,0.056648182412664866,0.08276199063230069,1.3643635113647437,0.0
4496,0.33549929197345313,62.86,5.17,2.33,19.93,4.16,0.026643606467684197,0.041710381814857686,1.1989729833156444,0.0
4498,-0.1869804059104112,308.07,-17.48,10.44,57.78,1.08,-0.016264510891519774,0.011472870982311012,0.9157646120570092,0.0
4499,0.12267471219645824,177.42,-28.03,3.75,40.87,2.23,-0.053266422207520495,0.01967183661614268,0.8085030569259252,0.0
4500,0.09178744034543296,202.96,-28.68,2.48,37.55,-0.21,-0.08041452673951338,-0.002182947611025362,0.6601624272373559,0.0
4501,-0.1533708014649972,152.55,44.04,1.91,30.73,-0.89,0.15075375241686878,-0.00859836253461142,0.6775769468584762,0.0
4502,0.029082381470523205,153.05,-3.17,1.38,45.01,1.77,-0.010785199171943463,0.014736403270962057,0.5654155397222272,0.0
4503,-0.07601227626992008,167.77,-18.68,1.3,50.53,-2.76,-0.06903487941224626,-0.028991275530491325,0.4571973667644275,0.0
