,ocf 대 유동부채,비유동장기적합률,자기자본순이익률,자기자본회전률,차입금의존도,총자본영업이익률,총자산순이익률,총자산영업이익률,총자산회전율
10894,-0.0969972603904986,-0.3690587138863001,-0.356622998544396,-0.11656441717791409,0.1481111665834581,-0.4888059701492538,-0.33608483940779177,-0.49943013669069336,-0.18693032286214512
10461,-0.24154982802288136,0.31226358204045823,-0.03930131004366813,0.5030674846625767,0.7012814112165086,-0.2848258706467662,-0.11733104956887183,-0.2849523411178915,0.19031809103383696
13731,-0.456558906637258,0.3756373005865906,-0.29330422125181954,0.19631901840490804,0.20735563321684142,0.34328358208955223,-0.30093303551971257,0.3444728114946634,-0.1724198329496809
16820,0.5810268828100281,1.5499150265884547,-1.3078602620087336,1.2822085889570551,1.45881178232651,-0.23756218905472642,-0.614799298367901,-0.2865766246191172,-0.17462414012678731
10901,-0.23765811641982557,-0.33660435283153345,-0.7147016011644833,0.15337423312883436,-0.5591612581128308,-0.05597014925373137,-0.7723095230731184,-0.008890859876997486,0.5142661502124788
13789,-0.285637349533022,-0.09034592401732373,-1.2489082969432317,0.0061349693251533804,0.4636378765185555,-1.3669154228855722,-1.1231486927667478,-1.462203489370474,-0.15055641038624465
15271,0.6571933247195688,0.18354256893810658,0.24672489082969432,-0.25153374233128833,-0.11416209019803626,0.33706467661691547,0.36906962762827816,0.39773379329865616,-0.21816685846135966
14786,1.0761711475991522,-0.3947152020174333,-0.25545851528384284,-0.25153374233128833,-0.619404226992844,-0.20895522388059706,-0.17095373070603903,-0.20642048750824651,0.11889398777717777
5104,-0.33217743840978053,1.7474919138205147,-1.6280931586608443,0.7607361963190186,1.0547512065235478,-0.03606965174129354,-0.9952836284656101,-0.03457880934847592,0.008367927171971871
15262,-0.6129189939051768,-0.29559782906638904,0.36462882096069876,-0.15950920245398775,0.1208187718422366,0.19402985074626863,0.4548558648570095,0.24098622655314705,-0.13532913588868326
1590,0.3156645691880628,-0.07280302614988231,-0.19941775836972347,-0.3803680981595092,-0.027958062905641533,0.24253731343283585,-0.1388109357001687,0.2786397487850594,-0.38749361740796723
1048,-1.4799014226409992,-0.5887835096760048,-0.2867540029112082,-0.5460122699386503,-0.4263604593110334,-0.36567164179104483,-0.21186017448390865,-0.3669585474523574,-0.5248862367607147
144,1.6425141473935212,0.28572994901595317,0.3522561863173218,-0.01840490797546014,-0.3704443334997503,1.013681592039801,0.4906077157588493,1.0320621026852637,0.2615697889411189
5428,-0.5403009559709713,-0.8346033660435285,0.4359534206695779,-0.09815950920245395,-0.582792477949742,0.9477611940298508,0.7870455203402574,0.9555144301825967,0.4318460946127337
8735,0.5014664951252042,-0.24165341812400631,1.037117903930131,-0.24539877300613494,0.5581627558662008,1.0360696517412935,0.8386741477886167,0.7901546629114581,-0.2718213759687558
16535,4.362034989917674,-0.27213420316868603,-0.7285298398835517,-0.6441717791411042,-0.292228324180396,-0.44651741293532343,-0.8346910870114993,-0.45805774914848524,-0.7431161560500666
12761,-0.31126804357354754,0.403705937174497,-0.9381368267831152,0.0613496932515338,0.4210351139956732,-0.43905472636815923,-0.8383065175230874,-0.4429026990064688,-0.13137635883415263
3959,-0.8262436271150234,-0.437476015569322,-2.6302765647743818,-0.22699386503067479,-0.03228490597437174,-1.9291044776119406,-3.059160800722728,-2.2336269862597056,-0.24394575154344084
12403,0.24753949357880586,-0.28529137656926706,-0.9388646288209608,-0.5398773006134969,-0.619404226992844,-1.0497512437810947,-1.159491080515919,-1.1030565912628263,-0.5473291239202778
16622,-0.29906705833570457,0.4291431390822871,-0.23362445414847163,-0.656441717791411,-0.19570644033949072,-0.6380597014925373,-0.2093311169362437,-0.6419127664670505,-0.9027551524848575
8819,-0.5626134563817917,0.10986239789485239,2.4199417758369726,2.1349693251533743,-0.4330171409552338,0.3296019900497513,0.23007191275153582,0.34508054629564355,-0.30610944590567524
6609,-0.013093037918861386,0.30261498821336547,-0.22052401746724895,1.7423312883435587,-0.2852388084539857,-0.37064676616915426,-0.12279268107652232,-0.37212693733458996,4.32770369736946
10909,1.67256078952673,-0.5142261937393785,0.29621542940320233,0.16564417177914112,-0.619404226992844,0.07960199004975121,0.5254948766025117,0.10281731468054031,0.751471658945783
16894,-0.8427125615432169,-0.15700893591360118,-0.2656477438136827,-0.11042944785276071,-0.48760193043767674,-0.1318407960199005,-0.2252237798134962,-0.08705464737375483,-0.07286255474839351
14336,0.297485797701253,1.182172030042213,0.9425036390101893,6.374233128834357,-0.2632717590281245,0.7748756218905473,0.3407994009673358,0.7782346848411849,4.683927897958467
11076,-0.34710010232123606,2.2365001918754457,-1.1950509461426495,1.0858895705521474,0.6160758861707438,-0.8967661691542289,-0.94569692816955,-0.906200526878587,0.9631963754099133
8223,0.09746575924871372,0.6449207828518174,0.5000000000000001,0.012269938650306761,0.9998335829588949,0.20646766169154232,0.10861957787576892,0.21154196376677925,-0.5428709760041694
13813,-0.029349378879306148,0.5260676497999013,-0.8027656477438139,-0.6257668711656442,0.2965551672491263,-0.7885572139303483,-0.879285428168242,-0.8205679169244662,-0.8087639070321587
11536,-0.19310821430310118,0.030700071268022718,-0.5363901018922854,-0.5521472392638037,-0.19437510401065067,-1.111940298507463,-0.5589983889945694,-1.1988447587803737,-0.6646582490395172
8775,0.15064599726403968,1.0929225371416043,1.1965065502183407,1.0552147239263805,0.2945581627558662,1.4017412935323383,0.8073050993159435,1.3475759478585028,1.0256762182807992
4962,0.12601494824293108,-0.7227673921385891,-0.2270742358078603,-0.16564417177914112,-0.619404226992844,0.4390547263681593,-0.11073564438944035,0.5270312948125836,0.34562017446319193
1971,0.05539765159833467,0.38002302505345104,0.06986899563318778,0.49079754601227016,0.025961058412381464,0.20398009950248755,0.08289862028421383,0.2582685202007893,0.6546259339645183
5480,-0.5121239724605461,0.17520969245107168,3.160844250363901,3.607361963190185,0.3018805125644866,1.1380597014925373,0.9359097905977382,1.0605399667835436,1.4145361551689415
19486,-0.11681667548424149,0.7804396688778029,-3.090247452692868,0.25153374233128845,0.4623065401897154,-2.2276119402985075,-2.4627019544333772,-2.0595226864153724,0.2725721468857169
6393,-0.4396986148549544,1.3404966832958725,-1.903930131004367,0.34969325153374226,0.9519054751206524,-0.6268656716417911,-1.3234825515398032,-0.6490218555502913,-0.1417837012467878
